Company_Type_ID,Total_Count,Created → Submission_Mean,Created → Submission_Median,Created → Submission_Count,Created → Approved_Mean,Created → Approved_Median,Created → Approved_Count,Submission → Approved_Mean,Submission → Approved_Median,Submission → Approved_Count,Approved → Registration_Mean,Approved → Registration_Median,Approved → Registration_Count,Created → Registration (Total)_Mean,Created → Registration (Total)_Median,Created → Registration (Total)_Count
5,22452,68.84148239505316,13.83573295138889,22401,70.69603666941187,16.151916030092593,22417,1.834508594472476,0.41439577546296297,22412,-5881.197192973698,-5720.3347584780095,4546,-5634.163185853241,-5473.017420324074,4539
18,21969,124.20289992448585,44.657248715277774,21906,125.29799836969799,48.01608435185185,21930,1.2050012612122027,0.024317858796296297,21909,-6451.79464692169,-5928.121942233796,9280,-6201.548249981014,-5676.328576319444,9283
8,979,20.293211422133318,1.9914938888888887,979,21.513928630957448,2.9550655729166664,978,1.2001674485793947,0.5964954513888889,978,-6306.605899350015,-6000.477876608796,63,-6101.2498000905725,-5812.108465416667,63
3,863,59.8229998492945,34.19150769675926,859,62.87891729009022,37.93201642361111,859,2.9299334958419565,1.0631365277777778,859,-5360.074589811307,-5098.481428402777,33,-5116.34706354833,-4783.75258275463,33
15,250,105.24388187307879,87.33621899305557,247,107.05522871981482,89.02549401041668,250,1.5017334070419102,0.08526260416666667,247,-8655.641077107863,-7857.431798518518,109,-8484.609005737555,-7608.437304780092,109
19,223,25.38220836525287,5.192080567129629,223,27.07688738150847,6.24275431712963,223,1.6946790162556054,0.7680041203703704,223,-5818.802003054108,-5582.180109027778,8,-5576.151162566552,-5251.878925688658,8
7,163,159.46816557676266,116.27027505787038,161,159.53690876650379,115.62782318287037,162,0.5056768557813215,1.03125e-05,162,-6954.912841049465,-6172.428029351852,95,-6718.404199159599,-5911.190492523148,95
16,66,50.16302657775673,15.939878587962964,66,53.722518557098766,21.068951579861114,66,3.5594919793420314,0.8672672337962962,66,-8046.72576325746,-5408.487870752315,9,-7823.3535464982,-5194.354827476852,9
17,20,56.7200180648148,17.132630052083336,20,58.91562860648149,21.161267390046298,20,2.1956105416666665,0.9390947164351852,20,-5402.972271246142,-5297.838129201388,3,-5175.880821165123,-5171.94894431713,3
12,13,176.74883087606838,138.4938547337963,13,176.7503963969017,138.49385537037037,13,0.0015655208333333333,8.055555555555556e-06,13,-11751.225563110534,-8367.622708483796,12,-11559.748641171873,-8178.172879560186,12
