Company_Type_ID,Total_Applications,Approved_Count,Rejected_Count,Approval_Rate,Avg_Approval_Time_Days,Avg_Rejection_Time_Days
5,168001,154124,8105,91.73993011946358,2.680895206901255,17.51090358978654
18,160621,152712,4779,95.0759863280642,2.0028324712488335,17.65859450023686
3,7667,6740,476,87.9092213382027,6.117461156165856,26.582836545382044
8,3036,2813,119,92.65480895915678,1.9001879536395174,13.846235855995173
15,1989,1739,136,87.43086978381096,6.1289072460625516,12.650993954333469
7,1489,1180,125,79.24781732706514,5.630820040264045,10.636757670185185
16,529,497,15,93.95085066162571,1.5732196466996422,19.915373080246916
19,372,319,32,85.75268817204301,9.881684490232788,15.740238413628472
17,170,154,7,90.58823529411765,1.6579231245490624,19.494973708664023
12,138,105,16,76.08695652173914,0.41979393628747796,9.86450667824074
