"id","created_by","created_date","is_active","last_updated_by","updated_date","application_number","application_status","approval_remarks","approved_date","payment_verification_status","process","remarks","submission_date","annual_report_master_detail_id","company_id","office_id","annualreportmasterdetail_id","amount_selection_remarks","discount","fine_amount","last_completed_annual_report_fiscal_year","revenue_amount","payment_status"
1963,486344,"2025-07-11 19:54:02.255",True,608902,"2025-10-07 16:47:26.835","81/82-140-100910947","APPROVED",NULL,"2025-10-07 15:19:07.111","PAYMENT_VERIFIED",NULL,"","2025-09-28 12:05:06.716",NULL,227791,17,NULL,"कुल जरिवाना रकम: रु ५०००००.०० चूक्ता पुँजीको ०.५ रु.( ८५३५००.०० ) % : रु २५००.०० विशेष दर्ता खारेजी (१३६क) अनुसार, तपाईले रु २५००.०० भुक्तानी गर्नुपर्नेछ।","851000","853500","{
  ""companyId"" : 227791,
  ""registrationDate"" : {
    ""englishDate"" : ""2013-02-15 00:00:00.0"",
    ""nepaliDate"" : ""2013-02-15 00:00:00.0""
  },
  ""applicationNumber"" : null,
  ""annualReportMasterDetailId"" : null,
  ""lastCompletedFiscalYear"" : ""68/69"",
  ""lastCompleted"" : null,
  ""entryType"" : ""REG_DATE"",
  ""oldLetterResponseDto"" : null
}","0","NOT_APPLICABLE"
799,99461,"2025-05-14 15:40:34.586",True,4009,"2025-12-28 13:21:45.882","81/82-140-100767256","APPROVED",NULL,"2025-12-28 13:21:45.803",NULL,NULL,"","2025-05-26 12:48:16.62",NULL,152401,17,NULL,"कुल जरिवाना रकम: रुपैयाँ २२५००००.०० 
 चूक्ता पुँजीको ०.५ Rs.( ९९४०००.०० ) % : रुपैयाँ ११२५०.०० 
 विशेष दर्ता खारेजी (१३६क) अनुसार, तपाईले रुपैयाँ ११२५०.०० भुक्तानी गर्नुपर्नेछ।","982750","994000","{
  ""companyId"" : 152401,
  ""registrationDate"" : {
    ""englishDate"" : ""2012-01-10 00:00:00.0"",
    ""nepaliDate"" : ""2012-01-10 00:00:00.0""
  },
  ""applicationNumber"" : null,
  ""annualReportMasterDetailId"" : null,
  ""lastCompletedFiscalYear"" : ""67/68"",
  ""lastCompleted"" : null,
  ""entryType"" : ""REG_DATE"",
  ""oldLetterResponseDto"" : null
}","0","PENDING"
3647,168230,"2025-11-19 18:31:10.468",True,602247,"2025-12-01 11:52:15.561","82/83-140-101156732","APPROVED",NULL,"2025-11-30 15:33:01.292","PAYMENT_VERIFIED",NULL,"","2025-11-21 10:30:06.781",NULL,103093,17,NULL,"कुल जरिवाना रकम: रु २००००००.०० चूक्ता पुँजीको ०.५ रु.( ६८०००.०० ) % : रु १००००.०० विशेष दर्ता खारेजी (१३६क) अनुसार, तपाईले रु १००००.०० भुक्तानी गर्नुपर्नेछ।","58000","68000","{
  ""companyId"" : 262461,
  ""registrationDate"" : {
    ""englishDate"" : ""2019-09-29 00:00:00.0"",
    ""nepaliDate"" : ""2076-06-12""
  },
  ""applicationNumber"" : 1543078,
  ""annualReportMasterDetailId"" : null,
  ""lastCompletedFiscalYear"" : ""77-78"",
  ""lastCompleted"" : null,
  ""entryType"" : ""CRO"",
  ""oldLetterResponseDto"" : {
    ""id"" : 477764,
    ""subject"" : ""नाम परिबर्तन, रजिष्टर्ड कार्यालयको ठेगाना परिबर्तन र पूँजी वृद्धि सहितको प्रबन्धपत्र/नियमावलीमा संशोधन साथै शेयरलगत अभिलेख बारे ।"",
    ""content"" : ""\tत्यस कम्पनीले कम्पनी ऐन, २०६३ बमोजिम पेश गर्नु पर्ने आ.व. ०७७/०७८ सम्मका विवरणहरु पेश गरेको हुनाले सो आ.व.सम्म कम्पनी अध्यावधिक रहेको साथै कम्पनीको मिति २०७९/०३/१९ को  संचालक समितिको निर्णयानुसार कम्पनी ऐन, २०६३ को दफा ३१ को बमोजिम यस कार्यालयमा पेश गरेको कम्पनी ऐन, २०६३ को दफा ४६ बमोजिम तयार शेयरधनी दर्ता किताब प्राप्त भएकोले सो बमोजिम भए गरेको काम कार्बाहीको उत्तरदायित्व र जिम्मेवारी कम्पनी र कम्पनीका सञ्चालकहरुको रहने गरी सो शेयरधनी दर्ता किताब अभिलेख गरिएको छ ।\r\n\tत्यस कम्पनीको मिति २०७९।०३।१३ मा सम्पन्न एकल शेयरधनीको विशेष बैठकको निर्णय वमोजिम साविक कम्पनी ( नेपाल स्मार्ट लोकसेवा  प्रा.लि. को नाममा रहेको सम्पूर्ण चल अचल सम्पत्ति तथा तिर्नु व्यहोर्नु पर्ने कर दायित्व आदि परिवर्तित नाम (इफोर्ट एकेडेमीप्रा.लि.)को कम्पनीले सकार्ने व्यहोर्ने साथै कम्पनीको नाम परिवर्तनको सम्वन्धमा ३० (तीस) दिनभित्र राष्ट्रिय स्तरको पत्रपत्रिकामा ३ पटक सार्वजनिक सूचना प्रकाशन गरी सोको प्रति यस कार्यालयमा पठाउने र कम्पनीको लेटर हेडमा तलपट्टी साविक कम्पनीको नाम कम्तीमा १ वर्षसम्म उल्लेख गर्ने साथै नामका सम्वन्धमा भ्रम सृजना भई उजुरी परेमा संशोधन गर्ने शर्तमा त्यस कम्पनीको नाम परिवर्तन गरी लालि गुँरास पोल्ट्री एण्ड एग्रो फार्म प्रा.लि. कायम गर्न स्वीकृति प्रदान गरिएको छ । त्यस कम्पनीको सोही निर्णय बमोजिम कम्पनीको रजिष्टर्ड कार्यालयको ठेगाना स्थानान्तरण गरी बाँके , कोहलपुर न.पा. वडा नं.०४  मा राख्नज स्विकृती प्रदान गरिएको छ । \r\n\tसाथै कम्पनीको प्रबन्ध पत्रको दफा १ र २ तथा नियमावलीको नियम १, २  मा गरेको संशोधन अभिलेख गरी अभिलेखित प्रवन्ध पत्र/नियमावली संशोधन र शेयरलगतको १/१ प्रति यसै साथ पठाइएको व्यहोरा मिति २०७९।०३।३० को निर्णयानुसार जानकारी गराइन्छ ।\r\n"",
    ""fiscalYear"" : ""78/79"",
    ""letterIssuedDate"" : ""२०७९-०३-३१""
  }
}","0","NOT_APPLICABLE"
3848,526666,"2025-12-17 14:20:03.91",True,545729,"2025-12-23 17:00:13.162","82/83-140-101216896","APPROVED",NULL,"2025-12-23 16:05:29.058","PAYMENT_VERIFIED",NULL,"","2025-12-17 14:33:06.014",NULL,256697,17,NULL,"कुल जरिवाना रकम: रु २५०००००.०० चूक्ता पुँजीको ०.५ रु.( ६४०००.०० ) % : रु १२५००.०० विशेष दर्ता खारेजी (१३६क) अनुसार, तपाईले रु १२५००.०० भुक्तानी गर्नुपर्नेछ।","51500","64000","{
  ""companyId"" : 256697,
  ""registrationDate"" : {
    ""englishDate"" : ""2022-06-06 00:00:00.0"",
    ""nepaliDate"" : ""2022-06-06 00:00:00.0""
  },
  ""applicationNumber"" : null,
  ""annualReportMasterDetailId"" : null,
  ""lastCompletedFiscalYear"" : ""77/78"",
  ""lastCompleted"" : null,
  ""entryType"" : ""REG_DATE"",
  ""oldLetterResponseDto"" : null
}","0","NOT_APPLICABLE"
1987,168713,"2025-07-13 12:34:48.188",True,609064,"2026-01-05 11:19:37.268","81/82-140-100918399","APPROVED",NULL,"2025-12-17 11:35:35.4","PAYMENT_VERIFIED",NULL,"","2025-07-13 12:40:53.686",NULL,103607,17,NULL,"कुल जरिवाना रकम: रु २५०००००.०० चूक्ता पुँजीको ०.५ रु.( १६००.०० ) % : रु १२५००.०० विशेष दर्ता खारेजी (१३६क) अनुसार, तपाईले रु १६००.०० भुक्तानी गर्नुपर्नेछ।","0","1600","{
  ""companyId"" : 269495,
  ""registrationDate"" : {
    ""englishDate"" : ""2020-01-06 00:00:00.0"",
    ""nepaliDate"" : ""2076-09-21""
  },
  ""applicationNumber"" : 1885813,
  ""annualReportMasterDetailId"" : null,
  ""lastCompletedFiscalYear"" : ""79-80"",
  ""lastCompleted"" : null,
  ""entryType"" : ""CRO"",
  ""oldLetterResponseDto"" : null
}","0","NOT_APPLICABLE"
1848,582499,"2025-07-08 12:18:52.1",True,4009,"2026-01-08 17:09:05.628","81/82-140-100887864","APPROVED",NULL,"2026-01-08 17:09:05.587",NULL,NULL,"","2025-07-10 16:18:00.905",NULL,308619,17,NULL,"कुल जरिवाना रकम: रु ३०००००.०० चूक्ता पुँजीको ०.५ रु.( १८८६८००.०० ) % : रु १५००.०० विशेष दर्ता खारेजी (१३६क) अनुसार, तपाईले रु १५००.०० भुक्तानी गर्नुपर्नेछ।","1885300","1886800","{
  ""companyId"" : 308619,
  ""registrationDate"" : {
    ""englishDate"" : ""2007-06-12 00:00:00.0"",
    ""nepaliDate"" : ""2007-06-12 00:00:00.0""
  },
  ""applicationNumber"" : null,
  ""annualReportMasterDetailId"" : null,
  ""lastCompletedFiscalYear"" : ""62/63"",
  ""lastCompleted"" : null,
  ""entryType"" : ""REG_DATE"",
  ""oldLetterResponseDto"" : null
}","0","NOT_APPLICABLE"
3480,401318,"2025-10-14 15:09:43.66",True,606699,"2025-10-17 13:57:34.192","82/83-140-101105468","APPROVED",NULL,"2025-10-17 13:47:47.316","PAYMENT_VERIFIED",NULL,"","2025-10-16 14:02:53.675",NULL,263351,17,NULL,"कुल जरिवाना रकम: रु २५०००००.०० चूक्ता पुँजीको ०.५ रु.( २९२००.०० ) % : रु १२५००.०० विशेष दर्ता खारेजी (१३६क) अनुसार, तपाईले रु १२५००.०० भुक्तानी गर्नुपर्नेछ।","16700","29200","{
  ""companyId"" : 263351,
  ""registrationDate"" : {
    ""englishDate"" : ""2022-08-05 00:00:00.0"",
    ""nepaliDate"" : ""2022-08-05 00:00:00.0""
  },
  ""applicationNumber"" : null,
  ""annualReportMasterDetailId"" : null,
  ""lastCompletedFiscalYear"" : ""78/79"",
  ""lastCompleted"" : null,
  ""entryType"" : ""REG_DATE"",
  ""oldLetterResponseDto"" : null
}","0","NOT_APPLICABLE"
1292,190247,"2025-06-10 12:49:02.803",True,48281,"2025-06-22 12:58:18.021","81/82-140-100815009","APPROVED",NULL,NULL,"PAYMENT_VERIFIED",NULL,"","2025-06-13 15:21:32.496",NULL,121440,17,NULL,"कुल जरिवाना रकम: रुपैयाँ १९३५००००.०० 
 चूक्ता पुँजीको ०.५ Rs.( १५०००.०० ) % : रुपैयाँ ९६७५०.०० 
 विशेष दर्ता खारेजी (१३६क) अनुसार, तपाईले रुपैयाँ १५०००.०० भुक्तानी गर्नुपर्नेछ।","0","15000","{
  ""companyId"" : 240333,
  ""registrationDate"" : {
    ""englishDate"" : ""2019-01-03 00:00:00.0"",
    ""nepaliDate"" : ""2075-09-19""
  },
  ""applicationNumber"" : 1964163,
  ""annualReportMasterDetailId"" : null,
  ""lastCompletedFiscalYear"" : ""79-80"",
  ""lastCompleted"" : null,
  ""entryType"" : ""CRO"",
  ""oldLetterResponseDto"" : null
}","0","NOT_APPLICABLE"
1992,79455,"2025-07-13 14:21:56.259",True,607629,"2025-12-05 13:30:14.474","81/82-140-100919788","APPROVED",NULL,"2025-12-02 14:15:04.812","PAYMENT_VERIFIED",NULL,"","2025-11-28 12:38:23.056",NULL,146946,17,NULL,"कुल जरिवाना रकम: रु १०००००.०० चूक्ता पुँजीको ०.५ रु.( ५९८०००.०० ) % : रु ५००.०० विशेष दर्ता खारेजी (१३६क) अनुसार, तपाईले रु ५००.०० भुक्तानी गर्नुपर्नेछ।","597500","598000","{
  ""companyId"" : 146946,
  ""registrationDate"" : {
    ""englishDate"" : ""2014-07-21 00:00:00.0"",
    ""nepaliDate"" : ""2014-07-21 00:00:00.0""
  },
  ""applicationNumber"" : null,
  ""annualReportMasterDetailId"" : null,
  ""lastCompletedFiscalYear"" : ""70/71"",
  ""lastCompleted"" : null,
  ""entryType"" : ""REG_DATE"",
  ""oldLetterResponseDto"" : null
}","0","NOT_APPLICABLE"
549,232712,"2025-05-02 14:30:55.405",True,598330,"2025-09-28 14:12:46.248","81/82-140-100747502","APPROVED",NULL,"2025-09-07 14:55:37.556","PAYMENT_VERIFIED",NULL,"","2025-06-11 13:32:45.188",NULL,210678,17,NULL,"कुल जरिवाना रकम: रुपैयाँ १५०००००.०० 
 चूक्ता पुँजीको ०.५ Rs.( ३८९०००.०० ) % : रुपैयाँ ७५००.०० 
 विशेष दर्ता खारेजी (१३६क) अनुसार, तपाईले रुपैयाँ ७५००.०० भुक्तानी गर्नुपर्नेछ।","381500","389000","{
  ""companyId"" : 210678,
  ""registrationDate"" : {
    ""englishDate"" : ""2017-04-12 00:00:00.0"",
    ""nepaliDate"" : ""2017-04-12 00:00:00.0""
  },
  ""applicationNumber"" : null,
  ""annualReportMasterDetailId"" : null,
  ""lastCompletedFiscalYear"" : ""72/73"",
  ""lastCompleted"" : null,
  ""entryType"" : ""REG_DATE"",
  ""oldLetterResponseDto"" : null
}","0","PENDING"
